system:index,Forest Loss Total,year,.geo
0,6.2502663553130984E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.253403409045877E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.492515682071269E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.2591992533131786E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.9795726000416872E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.7105268431382397E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5780131184542894E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.5024409054775497E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4287768434305E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.1473049336367702E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.2837174302775617E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7485721482278025E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.3821208675304493E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.5820984112947905E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.5688736820537227E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.520234535480104E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.5534722787406555E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.9620707033287078E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.4288346544732317E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.261141592832217E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.2325182132606718E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.3479382045655078E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.2712425184829846E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
